Mean_time	Mean_qlow	Mean_qup	Priors
t_n701_LUCA	4132.627	3477.59	4506.67	B(3.347,4.520,1e-300,1e-300)
t_n702	4115.024	3468.57	4493.86	0
t_n703	4056.755	3419.15	4472.87	0
t_n704	3995.145	3343.75	4453.83	0
t_n705	3930.283	3208.01	4437.16	0
t_n706	3842.247	2951.55	4418.76	0
t_n707	3706.422	2574.06	4396.39	0
t_n708	3550.708	2312.04	4370.38	0
t_n709	3377.92	2130.53	4332.28	0
t_n710	2108.752	649.75	3916.67	0
t_n711	1334.687	211.31	2922.07	0
t_n712	688.664	19.11	1955.85	0
t_n713	3189.716	1982.94	4276.89	0
t_n714	2883.344	1734.97	4159.69	0
t_n715	2020.3	806.29	3551.96	0
t_n716	1306.652	231.35	2648.98	0
t_n717	686.137	21.59	1909.06	0
t_n718	995.985	40.79	2362.17	0
t_n719	2556.667	1461.85	3950.02	0
t_n720	2271.12	1241.13	3625.58	0
t_n721	1784.025	786.38	3083.54	0
t_n722	1424.708	461.17	2478.5	0
t_n723	1106.357	251.78	2090.52	0
t_n724	769.701	95.66	1808.49	0
t_n725	394.673	9.78	1439.68	0
t_n726	1938.346	1016.13	3215.27	0
t_n727	1584.345	651.8	2694.47	0
t_n728	1223.546	322.85	2183.14	0
t_n729	650.585	24.63	1779.86	0
t_n730	652.345	23.61	1776.6	0
t_n731	843.215	34.95	1999.81	0
t_n732	1442.082	429.14	2550.45	0
t_n733	768.636	28.01	1927.81	0
t_n734	765.044	29.3	1924.72	0
t_n735	1175.827	51.25	2797.21	0
t_n736	2823.749	1663.29	4138.13	0
t_n737	2511.38	1412.72	3920.75	0
t_n738	2219.25	1199.73	3562.06	0
t_n739	1881.938	974.48	3168.94	0
t_n740	1587.998	688.87	2691.74	0
t_n741	1345.404	472	2250.46	0
t_n742	1053.142	248.81	1999.01	0
t_n743	734.362	94.56	1751.12	0
t_n744	376.114	9.51	1392.55	0
t_n745	717.412	27.75	1815.75	0
t_n746	967.793	41.13	2183.16	0
t_n747	1754.507	758.49	3060.38	0
t_n748	1408.673	459.7	2457.68	0
t_n749	1091.475	249.55	2071.11	0
t_n750	759.158	93.49	1791.42	0
t_n751	389.221	9.08	1424.63	0
t_n752	1535.299	309.89	3047.76	0
t_n753	790.671	25.69	2054.33	0
t_n754	2194.308	666.88	4015.41	0
t_n755	1030.973	41.56	2678.67	0
