Mean_time	Mean_qlow	Mean_qup	Priors
t_n701_LUCA	4482.872	4389.38	4519.07	B(3.347,4.520,1e-300,1e-300)
t_n702	3331.751	3122.1	3548.35	0
t_n703	3228.215	3016.47	3445.71	0
t_n704	3136.019	2924.2	3356.13	0
t_n705	2998.647	2786.69	3212.76	0
t_n706	2751.376	2533.27	2961.06	0
t_n707	2608.882	2387.5	2822.86	0
t_n708	2449.972	2229.12	2668.78	0
t_n709	2334.643	2116.98	2552.97	0
t_n710	1429.677	1102.1	1750.93	0
t_n711	662.732	431.35	925.28	0
t_n712	66.79	36.65	113.42	0
t_n713	2141.931	1926.65	2363.18	0
t_n714	1852.02	1638.14	2071.5	0
t_n715	1634.184	1422.83	1854.42	0
t_n716	1439.963	1230.76	1660.88	0
t_n717	1160.882	950.87	1382.36	0
t_n718	1386.203	1175.92	1610.95	0
t_n719	1593.755	1389.73	1808.63	0
t_n720	1480.799	1285.56	1686.48	0
t_n721	1350.24	1163.44	1549.42	0
t_n722	1256.919	1077.03	1448.27	0
t_n723	1148.111	977.14	1332.14	0
t_n724	1091.796	925.24	1272.24	0
t_n725	914.274	760.69	1084.5	0
t_n726	1320.754	1138.9	1513.61	0
t_n727	1167.407	995.68	1351.63	0
t_n728	1003.97	844.01	1179.59	0
t_n729	769.461	624.96	929.96	0
t_n730	476.415	347.34	626.12	0
t_n731	197.785	116.21	308.34	0
t_n732	1223.468	1049.66	1409.03	0
t_n733	1078.55	909.36	1260.9	0
t_n734	1095.951	930.43	1274.97	0
t_n735	1393.325	1194.07	1606.19	0
t_n736	1653.34	1413.58	1890.03	0
t_n737	1452.603	1220.94	1682.97	0
t_n738	1099.478	892.05	1310.62	0
t_n739	1003.834	807.48	1204.73	0
t_n740	742.564	580.21	916.3	0
t_n741	607.383	464.98	761.76	0
t_n742	518.864	392.99	659.06	0
t_n743	442.18	332.76	568.26	0
t_n744	240.592	172.58	324.71	0
t_n745	551.723	419.23	696.61	0
t_n746	806.428	635.54	990.37	0
t_n747	999.387	804.02	1200.78	0
t_n748	907.499	725.38	1097.15	0
t_n749	656.925	508.99	817.4	0
t_n750	525.227	398.6	664.74	0
t_n751	301.257	218.05	400.28	0
t_n752	1279.3	1059.35	1501.82	0
t_n753	1092.679	882.08	1309.59	0
t_n754	2024.678	1761.06	2278.55	0
t_n755	280.398	141.18	484.44	0
t_n756	529.458	281.39	837.85	0
t_n757	457.334	214.51	786.33	0
t_n758	2563.255	2342.44	2779.37	0
t_n759	2238.674	1999.57	2473.25	0
t_n760	956.614	693.52	1238.53	0
t_n761	870.503	626.44	1139.07	0
t_n762	751.242	536.22	996.91	0
t_n763	432.016	292.72	608.6	0
t_n764	724.195	509.12	968.31	0
t_n765	1581.551	1237.43	1896.83	0
t_n766	2396.728	2170.56	2616.58	0
t_n767	2280.195	2050.62	2503.06	0
t_n768	2047.9	1798.89	2286.29	0
t_n769	1645.997	1361.13	1917.17	0
t_n770	581.909	352.44	840.9	0
t_n771	2095.016	1856.56	2323.13	0
t_n772	1649.354	1378.52	1912.07	0
t_n773	914.258	655.13	1197.51	0
t_n774	1610.743	1334.64	1872.62	0
t_n775	1257.067	998.22	1522.09	0
t_n776	937.251	708.26	1188.43	0
t_n777	2752.128	2523.05	2964.14	0
t_n778	1718.768	1315.68	2096.95	0
t_n779	1442.678	1076.41	1807.59	0
t_n780	1339.951	990.92	1695.99	0
t_n781	1102.731	799.34	1425.72	0
t_n782	629.995	423.09	871.6	0
t_n783	501.419	330.76	706.83	0
t_n784	2572.363	2331.87	2795.98	0
t_n785	2109.851	1827.32	2371.38	0
t_n786	1887.743	1607.69	2153.93	0
t_n787	1631.905	1355.71	1905.35	0
t_n788	1443.958	1181.93	1715.39	0
t_n789	1129.623	888.86	1387.79	0
t_n790	712.827	450.52	1000.75	0
t_n791	1295.121	997.65	1600.36	0
t_n792	1142.024	868.23	1431.79	0
t_n793	743.391	532.98	984.25	0
t_n794	1886.872	1518.92	2212.03	0
t_n795	957.992	639.82	1308.92	0
t_n796	1628.344	1053.71	2177.21	0
t_n797	237.754	112.98	441.55	0
t_n798	2403.623	2026.63	2744.82	0
t_n799	1970.758	1579.26	2345.45	0
t_n800	1655.153	1282.01	2037.36	0
t_n801	1496.947	1142.73	1872.34	0
t_n802	1159.227	850.65	1508.7	0
t_n803	496.51	258.15	811.46	0
t_n804	299.511	154.21	510.54	0
t_n805	3275.98	3069.88	3491.2	0
t_n806	3171.726	2970.23	3385.35	0
t_n807	2961.384	2773.17	3174.04	0
t_n808	2730.286	2543.73	2939.04	0
t_n809	2557.488	2370.62	2766.19	0
t_n810	2346.287	2152.7	2554.79	0
t_n811	1518.124	1308.17	1728.86	0
t_n812	1378.835	1172.86	1580.97	0
t_n813	1265.436	1067.37	1460.53	0
t_n814	1186.42	995.32	1374.45	0
t_n815	886.128	717.98	1060.31	0
t_n816	551.087	413.42	704.01	0
t_n817	939.233	772.35	1107.72	0
t_n818	855.828	698.65	1016.56	0
t_n819	737.918	596.46	886.3	0
t_n820	615.115	488.06	749.48	0
t_n821	379.009	288.37	483.35	0
t_n822	168.429	120.4	228.85	0
t_n823	113.418	79.64	156.62	0
t_n824	52.98	35.58	75.93	0
t_n825	749.59	605.67	901.09	0
t_n826	641.502	512.39	780.79	0
t_n827	547.259	432.14	674.36	0
t_n828	154.396	103.94	218.75	0
t_n829	434.751	338.75	543.86	0
t_n830	358.904	274.92	456.43	0
t_n831	1192.34	1001.06	1380.74	0
t_n832	1124.173	937.9	1309.12	0
t_n833	1059.177	879.36	1239.05	0
t_n834	699.902	550.27	859.28	0
t_n835	546.876	419.18	688.06	0
t_n836	421.398	316.86	540.5	0
t_n837	352.841	263.25	458.3	0
t_n838	275.826	202.25	363.78	0
t_n839	317.841	235.51	414.91	0
t_n840	250.492	182.7	332.02	0
t_n841	265.81	196.02	349.45	0
t_n842	204.37	148.81	271.87	0
t_n843	141.386	101.35	191.67	0
t_n844	947.392	778.09	1120.27	0
t_n845	678.634	535.34	830.73	0
t_n846	606.868	473.81	749.61	0
t_n847	544.141	420.85	677.84	0
t_n848	415.139	316.27	528.21	0
t_n849	503.907	384.73	636.1	0
t_n850	1360.267	972.3	1729.5	0
t_n851	2402.884	2214.58	2610.89	0
t_n852	2266.407	2074.54	2472.12	0
t_n853	2164.653	1971.07	2370.3	0
t_n854	1991.174	1792.02	2197.14	0
t_n855	1874.686	1672.57	2081.31	0
t_n856	1618.491	1411.37	1826.26	0
t_n857	1139.737	938.74	1344.62	0
t_n858	861.973	687.77	1053.8	0
t_n859	290.848	193.91	414.97	0
t_n860	162.621	104.54	241.61	0
t_n861	939.686	760.59	1125.78	0
t_n862	859.384	690.38	1038.29	0
t_n863	702.041	554.56	860.83	0
t_n864	694.348	549.26	854.27	0
t_n865	712.585	558.15	882.57	0
t_n866	685.429	453.47	931.71	0
t_n867	1071.592	758.35	1370.55	0
t_n868	1920.412	1707.81	2136.79	0
t_n869	687.815	417.52	978.79	0
t_n870	875.867	600.18	1176.55	0
t_n871	1954.121	1722.69	2179.58	0
t_n872	504.149	277.66	775.98	0
t_n873	185.864	95.49	312.2	0
t_n874	1235.446	945.31	1515.98	0
t_n875	1111.087	843.04	1377.19	0
t_n876	912.444	679.6	1150.81	0
t_n877	956.156	716.41	1201.55	0
t_n878	778.078	572.14	996.69	0
t_n879	1087.754	821.05	1357.56	0
t_n880	1375.719	1025.3	1728.42	0
t_n881	1155.727	845.96	1485.35	0
t_n882	1001.775	725.51	1301.65	0
t_n883	713.62	502.56	961.23	0
t_n884	784.086	557.36	1044.08	0
t_n885	2530.863	2321.38	2759.04	0
t_n886	2353.734	2140.63	2583.71	0
t_n887	2211.575	1995.22	2447.12	0
t_n888	1870.64	1627.34	2118.04	0
t_n889	992.59	739.18	1261.51	0
t_n890	848.758	622.57	1093.85	0
t_n891	497.848	346.02	681.08	0
t_n892	769.249	560.86	998.18	0
t_n893	635.394	456.82	836.16	0
t_n894	437.363	307.38	593.73	0
t_n895	370.558	236.38	552.61	0
t_n896	1607.994	1347.26	1870.43	0
t_n897	2211.502	1994.13	2447.44	0
t_n898	1573.53	1291.58	1851.26	0
t_n899	776.421	546.69	1029.17	0
t_n900	395.603	258.97	567.81	0
t_n901	639.163	440.45	861.78	0
t_n902	1308.294	1044.5	1580.59	0
t_n903	843.765	622.61	1086.44	0
t_n904	604.043	427.06	810.61	0
t_n905	2422.036	2208.95	2653.53	0
t_n906	2057.643	1811.37	2302.15	0
t_n907	1105.85	835.46	1382.44	0
t_n908	930.621	690.17	1186.2	0
t_n909	557.614	386.45	759.15	0
t_n910	369.015	248.26	522.41	0
t_n911	249.12	163.35	361.61	0
t_n912	885.413	649.41	1137.4	0
t_n913	571.769	400.69	776.52	0
t_n914	472.536	327.53	652.69	0
t_n915	442.932	306.17	613.49	0
t_n916	271.383	182.86	386.48	0
t_n917	377.311	258.83	527.16	0
t_n918	268.823	173.87	394.45	0
t_n919	943.587	636.7	1277.03	0
t_n920	397.779	232.29	627.52	0
t_n921	95.125	49.36	167.21	0
t_n922	2080.263	1818.86	2333.67	0
t_n923	1775.094	1469.29	2064.91	0
t_n924	3042.933	2850.11	3256.88	0
t_n925	2924.114	2735.25	3135.39	0
t_n926	2763.938	2569	2971.2	0
t_n927	2507.555	2281.45	2732.04	0
t_n928	1712.522	1381.92	2022	0
t_n929	1175.845	886.36	1472.89	0
t_n930	971.211	718.08	1247.79	0
t_n931	771.489	559.75	1013.82	0
t_n932	245.376	150.72	377.13	0
t_n933	1475.878	1158.22	1788.71	0
t_n934	1120.237	842.35	1410.5	0
t_n935	591.087	400.69	815.98	0
t_n936	891.001	636.15	1182.47	0
t_n937	1892.732	1447.22	2263.98	0
t_n938	1493.791	1096.83	1869.55	0
t_n939	1045.248	725.6	1389.8	0
t_n940	652.455	362.13	993.14	0
t_n941	2897.78	2705.05	3116.61	0
t_n942	2594.376	2358.26	2836.35	0
t_n943	1165.458	831.7	1478.41	0
t_n944	645.529	410.94	902.59	0
t_n945	840.345	573.32	1108.64	0
t_n946	681.188	456.1	912.54	0
t_n947	543.654	360.66	744.7	0
t_n948	1785.246	1341.22	2169.67	0
t_n949	2012.663	1523.22	2377.86	0
t_n950	2955.882	2763.8	3156.67	0
t_n951	2781.401	2586.1	2975.3	0
t_n952_TG-ARCH-EUKARYA	2428.076	2195.78	2652.71	B(1.6191,3.448,1e-300,1e-300)
t_n953	1460.604	1076.6	1833.68	0
t_n954	2171.004	1910.31	2416.22	0
t_n955	1723.095	1413.1	2014.78	0
t_n956	711.668	454.31	1007.9	0
t_n957	2620.786	2419.62	2824.74	0
t_n958	2440.405	2226.36	2659.18	0
t_n959	1588.349	1246.57	1913.76	0
t_n960	1363.567	1042	1691.11	0
t_n961	650.23	415.92	913.62	0
t_n962	525.055	328.8	752.04	0
t_n963	998.535	662.41	1346.84	0
t_n964	561.313	346.47	820.81	0
t_n965	330.464	195.72	515.18	0
t_n966	362.79	217.49	552.16	0
t_n967	244.601	143.88	379.28	0
t_n968	2372.383	2140.56	2601.52	0
t_n969	1796.809	1429.03	2124.47	0
t_n970	2774.578	2583.73	2968.18	0
t_n971	2646.245	2454.92	2840.72	0
t_n972	2480.765	2290.33	2677.66	0
t_n973	2341.483	2148.21	2539.26	0
t_n974	2197.524	2002.58	2396.19	0
t_n975	1752.567	1532.43	1970.28	0
t_n976	1607.18	1390.97	1823.57	0
t_n977	1500.628	1291.94	1714.68	0
t_n978	1354.64	1155.41	1562.66	0
t_n979	1247.69	1055.92	1450.6	0
t_n980	809.331	637.21	1003.18	0
t_n981	472.114	342.88	628.88	0
t_n982	841.496	651.56	1048.85	0
t_n983	381.224	260.56	535.96	0
t_n984	910.415	704.01	1126.03	0
t_n985	685.982	510.48	877.89	0
t_n986	462.361	331.58	620.32	0
t_n987	581.239	366.81	815.86	0
t_n988	1600.108	1384.25	1819.48	0
t_n989	833.556	628.54	1045.47	0
t_n990	734.021	547.29	931.72	0
t_n991	723.3	539.43	917.45	0
t_n992	544.548	395.82	708.59	0
t_n993	330.768	231.25	449.89	0
t_n994	109.017	64.53	172.55	0
t_n995	1907.285	1697.52	2113.93	0
t_n996	1534.294	1295.96	1767.01	0
t_n997	1098.872	849.38	1348.95	0
t_n998	1207.162	964.93	1441.64	0
t_n999	626.133	442.16	825.39	0
t_n1000	254.377	162.58	368.9	0
t_n1001	955.079	739.39	1174.39	0
t_n1002	699.294	522.35	893.66	0
t_n1003	372.821	246.11	530.76	0
t_n1004	2148.587	1946.43	2353.43	0
t_n1005	2.992	0.33	9	0
t_n1006	1738.679	1485.81	1975.16	0
t_n1007	751.976	497.35	1029.39	0
t_n1008	2300.103	2102.68	2499.55	0
t_n1009	2136.081	1929.52	2343.51	0
t_n1010	1337.824	1059.22	1624.1	0
t_n1011	755.773	534.29	1012.07	0
t_n1012	188.082	113.61	292.68	0
t_n1013	188.045	111.33	298.18	0
t_n1014	1581.118	1237.66	1884.82	0
t_n1015	669.437	417.67	956.45	0
t_n1016	1748.901	1387.11	2068.14	0
t_n1017	1459.151	1124.66	1785.03	0
t_n1018	1015.689	744.06	1314.11	0
t_n1019	833.394	598.45	1104.94	0
t_n1020	219.951	134.79	340.13	0
t_n1021	2602.744	2416.13	2796.47	0
t_n1022	2380.791	2186.69	2582.93	0
t_n1023	2167.983	1961.91	2376	0
t_n1024	1651.414	1394.64	1902.64	0
t_n1025	1330.478	1081.66	1591.52	0
t_n1026	799.87	579.6	1050.93	0
t_n1027	880.083	661.93	1126.79	0
t_n1028	1954.927	1734.98	2175.2	0
t_n1029	1795.473	1561.84	2028.49	0
t_n1030	542.455	306.98	819.42	0
t_n1031	2123.978	1895.64	2346.09	0
t_n1032	2356.388	2166.49	2553.25	0
t_n1033	1514.542	1200.41	1803.72	0
t_n1034	1266.046	978.23	1547.57	0
t_n1035	1044.361	789.01	1305.46	0
t_n1036	689.57	484.37	917.88	0
t_n1037	2173.623	1980.07	2376.53	0
t_n1038_GOE	1671.718	1458.94	1896.22	U(2.315)
t_n1039	1415.251	1204.09	1638.04	0
t_n1040	1222.91	1022.73	1444.28	0
t_n1041	773.116	606.09	969.58	0
t_n1042	570.69	434.27	736.05	0
t_n1043	486.845	366.57	634.14	0
t_n1044	431.346	323	566.1	0
t_n1045	350.949	261.16	464.58	0
t_n1046	257.635	187.88	347.32	0
t_n1047	180.125	128.98	247.68	0
t_n1048	875.892	693.2	1086.42	0
t_n1049	436.712	302.71	604.6	0
t_n1050	954.732	628.08	1290.48	0
t_n1051	4166.07	3960.66	4384.16	0
t_n1052	4085.203	3892.73	4294.23	0
t_n1053	3933.758	3758.22	4131.47	0
t_n1054	3832.356	3667.38	4021.05	0
t_n1055	3691.795	3544.92	3866.18	0
t_n1056	3517.286	3392.69	3675.49	0
t_n1057	3287.367	3155.52	3458.11	0
t_n1058	3162.722	3026.56	3339.34	0
t_n1059	3048.795	2912.38	3227.21	0
t_n1060	2993.235	2855.78	3170.34	0
t_n1061	2908.172	2768.27	3080.71	0
t_n1062	2828.241	2683.63	2997.78	0
t_n1063	2729.715	2581.84	2898.83	0
t_n1064	2340.541	2177.4	2511.7	0
t_n1065	2166.471	2002.1	2340.79	0
t_n1066	1735.698	1564.38	1916.03	0
t_n1067	1566.359	1398.94	1743	0
t_n1068	1453.94	1292.87	1625.13	0
t_n1069_TG-CHROMATIACEAE	1372.965	1217.2	1540.06	B(1.631,4.520,0.025,1e-300)
t_n1070	1162.111	1014.4	1321.91	0
t_n1071	873.738	735.38	1023.52	0
t_n1072	741.74	613.16	879.81	0
t_n1073	579.541	466.26	705.39	0
t_n1074	445.519	350.14	554.71	0
t_n1075	252.066	188.04	329	0
t_n1076	149.96	107.42	203.58	0
t_n1077	601.09	484.04	729.07	0
t_n1078	991.943	851.83	1143.52	0
t_n1079	883.408	750.64	1028.7	0
t_n1080	748.129	621.48	884.57	0
t_n1081	650.474	532.02	778.27	0
t_n1082	1275.17	1122.12	1439.8	0
t_n1083	1102.04	950.77	1265.02	0
