Mean_time	Mean_qlow	Mean_qup	Priors
t_n701_LUCA	4453.247	4283.89	4518.17	B(3.347,4.520,1e-300,1e-300)
t_n702	3813.995	3559.88	4072.31	0
t_n703	3703.981	3448.77	3966.72	0
t_n704	3605.347	3350.83	3867.25	0
t_n705	3480.26	3229.64	3739.8	0
t_n706	3285.132	3032.54	3547.06	0
t_n707	3145.119	2903.35	3405.03	0
t_n708	2999.699	2765.25	3248.74	0
t_n709	2881.565	2645.19	3128.37	0
t_n710	1925.922	1479.29	2355.33	0
t_n711	988.344	655.08	1381.69	0
t_n712	127.223	71.43	211.37	0
t_n713	2712.205	2480.43	2952.88	0
t_n714	2421.962	2182.4	2672.5	0
t_n715	2065.681	1726.67	2372.91	0
t_n716	1775.76	1402.51	2124.1	0
t_n717	1381.781	983.21	1778.88	0
t_n718	1697.567	1281.37	2068.68	0
t_n719	2173.271	1934.03	2422.23	0
t_n720	2036.461	1805.55	2282.06	0
t_n721	1840.137	1583.83	2101.86	0
t_n722	1696.599	1432.56	1965.28	0
t_n723	1529.408	1262.2	1804.47	0
t_n724	1435.443	1169.16	1714.1	0
t_n725	1157.703	872.66	1453.31	0
t_n726	1838.21	1602.52	2084.87	0
t_n727	1631.773	1389.36	1887.32	0
t_n728	1402.574	1158.48	1662.74	0
t_n729	1021.282	738.66	1314.22	0
t_n730	767.788	526.07	1048.66	0
t_n731	269.765	150.01	455.24	0
t_n732	1665.742	1410.77	1929.45	0
t_n733	1411.616	1109.36	1707.4	0
t_n734	1428.804	1127.83	1730.54	0
t_n735	1842.983	1476.21	2155.57	0
t_n736	2361.841	2116.57	2615.82	0
t_n737	2148.966	1912.02	2399.6	0
t_n738	1837.805	1612.07	2072.64	0
t_n739	1668.917	1442.5	1906.95	0
t_n740	1307.268	1089.03	1539.54	0
t_n741	1085.12	885.17	1307.93	0
t_n742	916.754	723.47	1134.12	0
t_n743	768.258	580.72	982.01	0
t_n744	429.396	264.34	635.73	0
t_n745	955.247	741.29	1187.44	0
t_n746	1257.054	917.69	1563.22	0
t_n747	1664.425	1430.73	1907.11	0
t_n748	1500.806	1267.48	1748.35	0
t_n749	1151.875	920.82	1397.72	0
t_n750	921.271	695.81	1163.68	0
t_n751	566.282	366.15	779.36	0
t_n752	1812.832	1468.21	2120.11	0
t_n753	1479.606	1099.87	1838.31	0
t_n754	2359.008	1896.09	2760.23	0
t_n755	514.199	288.3	800.15	0
t_n756	506.995	272.01	817.02	0
t_n757	733.525	443.2	1132.04	0
t_n758	3013.072	2740.51	3287.3	0
t_n759	2583.18	2223.72	2918.21	0
t_n760	1280.117	1014.89	1576.46	0
t_n761	1154.773	897.78	1443.43	0
t_n762	978.066	730.31	1256.45	0
t_n763	590.465	372.82	835.9	0
t_n764	887.066	583.35	1227.65	0
t_n765	1709.196	1179.97	2215.56	0
t_n766	2772.555	2479.05	3063.14	0
t_n767	2612.809	2313.87	2905.52	0
t_n768	2290.147	1919.49	2629.08	0
t_n769	1798.324	1369.55	2198.43	0
t_n770	738.656	467.92	1092.8	0
t_n771	2380.118	2067.12	2688.97	0
t_n772	1857.675	1454.48	2230.73	0
t_n773	1051.437	683.58	1457.49	0
t_n774	1836.266	1465.68	2201.65	0
t_n775	1418.552	1070.63	1796.08	0
t_n776	1014.879	683.12	1388.97	0
t_n777	3176.596	2907.35	3474.35	0
t_n778	2142.775	1742.46	2558.86	0
t_n779	1818.797	1450.76	2213.95	0
t_n780	1682.287	1332.55	2070.06	0
t_n781	1392.762	1073.49	1763.25	0
t_n782	879.315	639.02	1166.43	0
t_n783	679.724	459.24	953.6	0
t_n784	2965.363	2683.69	3266.23	0
t_n785	2542.247	2233.24	2864.95	0
t_n786	2260.493	1937.5	2590.53	0
t_n787	1916.85	1567.82	2268.84	0
t_n788	1652.237	1300.23	2013.21	0
t_n789	1224.672	864.89	1604.96	0
t_n790	1036.168	669.37	1456.23	0
t_n791	1705.846	1336.31	2101.06	0
t_n792	1475.439	1117.72	1871.99	0
t_n793	960.086	642.45	1339.01	0
t_n794	2113.612	1608.96	2575.57	0
t_n795	1114.353	706.18	1585.01	0
t_n796	1658.707	1056.73	2403.47	0
t_n797	240.513	134.29	399.68	0
t_n798	2229.684	1742.43	2790.16	0
t_n799	1713.242	1309.54	2192.13	0
t_n800	1412.633	1057.8	1843.05	0
t_n801	1276.029	928.67	1701.6	0
t_n802	993.742	669.54	1394.99	0
t_n803	410.313	268.17	611.38	0
t_n804	241.559	141.7	391.87	0
t_n805	3698.436	3442.2	3974.18	0
t_n806	3441.482	3141.11	3739.48	0
t_n807	3139.829	2866.5	3445.54	0
t_n808	2748.418	2453.03	3054.97	0
t_n809	2482.64	2207.37	2774.39	0
t_n810	2166.908	1868.41	2477.19	0
t_n811	1277.087	1107.49	1471.21	0
t_n812	1144.105	998.21	1309.37	0
t_n813	1043.12	915.01	1184.7	0
t_n814	974.916	850.97	1114.46	0
t_n815	724.381	555.28	893.69	0
t_n816	459.038	291.49	645.56	0
t_n817	794.942	683.12	918.82	0
t_n818	727.748	621.53	844.41	0
t_n819	636.871	528.51	754.03	0
t_n820	538.52	429.67	655.05	0
t_n821	357.245	265.9	465.85	0
t_n822	185.4	133.75	252.96	0
t_n823	123.862	84.34	174.78	0
t_n824	58.616	33.72	92.99	0
t_n825	631.889	521.44	748.69	0
t_n826	535.846	425.05	652.84	0
t_n827	449.467	344.75	567.61	0
t_n828	116.729	65.22	192.19	0
t_n829	344.217	248.22	460.06	0
t_n830	269.969	172.95	387.98	0
t_n831	974.96	847.1	1114.3	0
t_n832	914.137	788.96	1052.56	0
t_n833	857.511	736.43	991.67	0
t_n834	549.888	436.98	679.95	0
t_n835	421.74	336.29	528.95	0
t_n836	327.058	263.05	404.1	0
t_n837	274.096	221.35	337.4	0
t_n838	206.413	140.39	278.46	0
t_n839	245.959	196.02	305.97	0
t_n840	189.159	132.25	252.97	0
t_n841	206.979	158.99	263.58	0
t_n842	158.361	114.64	210.94	0
t_n843	107.352	69.4	155.1	0
t_n844	771.251	647.88	904.08	0
t_n845	606.403	484.52	735.35	0
t_n846	543.439	421.41	669.45	0
t_n847	483.775	362.1	610.75	0
t_n848	355.618	239.69	490.26	0
t_n849	433.594	285.29	588.75	0
t_n850	1096.967	680.51	1567.32	0
t_n851	2253.513	1986.98	2534.46	0
t_n852	2075.753	1819.91	2349.41	0
t_n853	1955.498	1703.82	2224.53	0
t_n854	1766.699	1520.57	2028.84	0
t_n855	1642.575	1399.82	1902.95	0
t_n856	1404.496	1181.92	1652.29	0
t_n857	1040.735	865.45	1234.89	0
t_n858	752.375	553.84	972.98	0
t_n859	216.467	142.36	314.82	0
t_n860	118.149	68.95	188.02	0
t_n861	859.834	701.26	1036.85	0
t_n862	779.957	623.29	952.76	0
t_n863	619.435	448.08	801.53	0
t_n864	617.23	450.01	795.58	0
t_n865	625.933	430.33	821.35	0
t_n866	528.958	290.69	812.87	0
t_n867	862.193	538.66	1254.11	0
t_n868	1683.96	1377.12	1983.23	0
t_n869	527.483	289.14	830.39	0
t_n870	815.726	529.24	1170.49	0
t_n871	1688.89	1303.93	2036.42	0
t_n872	378.964	239.42	592.34	0
t_n873	131.176	74.09	215.87	0
t_n874	1158.61	929.77	1422.27	0
t_n875	1036.741	818.32	1291.64	0
t_n876	835.54	612.11	1094.15	0
t_n877	869.675	656.55	1121.05	0
t_n878	692.835	483.42	941.27	0
t_n879	994.768	735.59	1272.14	0
t_n880	991.137	766.36	1257.79	0
t_n881	836.067	641.07	1070.51	0
t_n882	725.454	543.96	943.16	0
t_n883	519.736	334.13	726.24	0
t_n884	558.261	367.32	765.54	0
t_n885	2718.538	2443.52	3015.7	0
t_n886	2501.574	2220.08	2798.15	0
t_n887	2335.533	2053.6	2629.28	0
t_n888	2013.478	1727.01	2315.03	0
t_n889	1419.226	1185.71	1679.16	0
t_n890	1230.133	1013.62	1468.86	0
t_n891	720.08	487.57	989.68	0
t_n892	1099.96	888.45	1335.51	0
t_n893	895.278	687.85	1122.17	0
t_n894	610.495	414.92	827.86	0
t_n895	487.815	267.75	770.48	0
t_n896	1615.996	1188.14	1999	0
t_n897	2291.118	1978.26	2608.15	0
t_n898	1555.823	1248.02	1899.24	0
t_n899	817.564	608.77	1070.51	0
t_n900	413.313	241.99	636.25	0
t_n901	655.256	448.05	904.98	0
t_n902	1238.731	945.52	1569.9	0
t_n903	773.388	545.92	1044.62	0
t_n904	547.873	337.51	794.18	0
t_n905	2575.256	2292.03	2877.25	0
t_n906	2221.978	1924.91	2531.06	0
t_n907	1510.439	1276.82	1774.83	0
t_n908	1252.264	1011.3	1511.3	0
t_n909	817.166	615.87	1045.98	0
t_n910	563.681	391.88	756.33	0
t_n911	372.972	229.94	562.03	0
t_n912	1222.026	1000.98	1468.19	0
t_n913	866.826	700.57	1057.05	0
t_n914	733.452	579.1	907.05	0
t_n915	683.248	533.42	852.72	0
t_n916	439.78	288.67	615	0
t_n917	563.822	399.6	737.48	0
t_n918	327.313	179.05	552.41	0
t_n919	937.761	638.6	1324.27	0
t_n920	377.34	210.8	629.16	0
t_n921	90.255	49.51	152.3	0
t_n922	1994.11	1449.5	2436.68	0
t_n923	1629.004	1094.37	2116.56	0
t_n924	3021.756	2638.37	3363.74	0
t_n925	2840.343	2460.44	3181.22	0
t_n926	2618.611	2232.85	2976.41	0
t_n927	2303.417	1906.09	2698.45	0
t_n928	1527.073	1196.17	1913.73	0
t_n929	1100.866	849.98	1392.83	0
t_n930	915.783	690.78	1192.11	0
t_n931	700.573	486.75	965.44	0
t_n932	288.44	170.25	455.84	0
t_n933	1020.459	767.15	1323.77	0
t_n934	783.761	563.02	1054.3	0
t_n935	488.587	308.02	705.36	0
t_n936	508.241	275.52	788.77	0
t_n937	1632.355	1234.48	2089.07	0
t_n938	1238.669	897.17	1658.06	0
t_n939	826.744	528.82	1209.56	0
t_n940	513.386	276.9	820.61	0
t_n941	2790.251	2381.01	3153.81	0
t_n942	2345.765	1865.23	2785.92	0
t_n943	588.805	439.87	771.26	0
t_n944	250.345	137.78	410.77	0
t_n945	420.551	305.82	569.88	0
t_n946	334.173	231.09	470.25	0
t_n947	260.907	166.73	385.58	0
t_n948	1501.05	984.12	2060.19	0
t_n949	1686.24	1058.71	2316.55	0
t_n950	3377.808	3114.42	3702.71	0
t_n951	3083.17	2788.69	3510.83	0
t_n952_TG-ARCH-EUKARYA	2683.117	2316.85	3284.05	B(1.6191,3.448,1e-300,1e-300)
t_n953	1623.961	1096.32	2197.36	0
t_n954	2359.291	1954.14	2923.05	0
t_n955	1862.666	1429.16	2361.01	0
t_n956	872.608	564.02	1270.74	0
t_n957	2834.777	2500.31	3224.91	0
t_n958	2608.874	2254.77	2997.33	0
t_n959	1748.323	1354.21	2174.48	0
t_n960	1438.37	1030.71	1886.16	0
t_n961	761.524	535.53	1036.78	0
t_n962	606.719	388.27	868.38	0
t_n963	939.124	684.77	1264.87	0
t_n964	545.107	405.19	716.27	0
t_n965	281.886	162.87	439.49	0
t_n966	361.783	251.05	503.77	0
t_n967	238.665	147.4	362.33	0
t_n968	2463.125	2010.31	2896.43	0
t_n969	1745.287	1156.93	2297.38	0
t_n970	3181.292	2937.15	3482.16	0
t_n971	3033.608	2791.03	3314.76	0
t_n972	2857.102	2613.71	3128.37	0
t_n973	2714.883	2473.19	2981.15	0
t_n974	2560.674	2319.22	2823.53	0
t_n975	2198.516	1955.72	2459.6	0
t_n976	2021.756	1785.81	2277.88	0
t_n977	1884.38	1650.12	2139.98	0
t_n978	1699.796	1457.84	1960.69	0
t_n979	1553.217	1305.31	1816.31	0
t_n980	1113.39	859.64	1382.03	0
t_n981	693.066	478.48	945.82	0
t_n982	1020.728	720.04	1350.05	0
t_n983	488.899	283.16	741.65	0
t_n984	1216.01	939.44	1503.66	0
t_n985	932.221	685.84	1202.02	0
t_n986	629.203	408.45	883.03	0
t_n987	730.466	444.68	1105.66	0
t_n988	1962.197	1679.46	2248.01	0
t_n989	1106.513	880.58	1365.11	0
t_n990	948.728	708.55	1219.54	0
t_n991	947.196	731.85	1197.6	0
t_n992	712.998	522.84	941.01	0
t_n993	428.711	260.55	639.44	0
t_n994	118.255	65.41	197.32	0
t_n995	2221.032	1937.76	2509.39	0
t_n996	1692.329	1294.23	2069.79	0
t_n997	1152.464	762.26	1564.26	0
t_n998	1585.903	1303.9	1894.19	0
t_n999	858.264	604.37	1170.31	0
t_n1000	369.605	214.73	594.1	0
t_n1001	1246.419	975.96	1549.52	0
t_n1002	891.538	621.75	1196.22	0
t_n1003	481.262	270.17	742.86	0
t_n1004	2442.441	2131.4	2736.68	0
t_n1005	2.969	0.34	8.69	0
t_n1006	1938.173	1541.81	2308.77	0
t_n1007	890.888	570.32	1294.92	0
t_n1008	2521.712	2158.56	2848.61	0
t_n1009	2284.504	1895.65	2641.21	0
t_n1010	1328.04	972.97	1760.92	0
t_n1011	745.157	521.57	1045.49	0
t_n1012	211.187	121.24	339.96	0
t_n1013	139.062	77.5	230.11	0
t_n1014	1581.619	1105.48	2099.6	0
t_n1015	659.541	388.58	1006.28	0
t_n1016	2216.773	1827.63	2600.17	0
t_n1017	1855.157	1482.26	2239.41	0
t_n1018	1343.117	1026.58	1702.01	0
t_n1019	1074.319	777.06	1411.84	0
t_n1020	359.313	208.36	582.78	0
t_n1021	2950.552	2685.16	3234.77	0
t_n1022	2493.962	2106.75	2853.82	0
t_n1023	2172.185	1792.5	2544.23	0
t_n1024	1491.591	1154.25	1884.15	0
t_n1025	1162.063	880.89	1498.56	0
t_n1026	659.787	402.23	969.53	0
t_n1027	745.463	490.69	1067.36	0
t_n1028	1913.31	1512.34	2303.74	0
t_n1029	1721.553	1301.04	2128.31	0
t_n1030	614.44	359	938.93	0
t_n1031	2142.943	1682.3	2557	0
t_n1032	2692.657	2416.98	2978.22	0
t_n1033	1768.868	1395.16	2156.47	0
t_n1034	1446.425	1117.68	1817.54	0
t_n1035	1167.254	866.78	1515.51	0
t_n1036	762.591	505.67	1086.05	0
t_n1037	2470.595	2191.93	2755.49	0
t_n1038_GOE	2006.211	1730.52	2284.58	U(2.315)
t_n1039	1725.698	1467.26	1997.1	0
t_n1040	1504.639	1271.69	1762.09	0
t_n1041	1124.126	932.93	1338.47	0
t_n1042	904.607	742.71	1086.16	0
t_n1043	781.806	633.63	948.72	0
t_n1044	684.88	546.97	844.02	0
t_n1045	547.264	418.37	693.74	0
t_n1046	382.789	270.38	521.02	0
t_n1047	251.504	155.26	373.94	0
t_n1048	986.274	705.09	1290.42	0
t_n1049	452.916	251.76	707.08	0
t_n1050	1118.369	707.96	1586	0
t_n1051	4303.684	3998.6	4490.46	0
t_n1052	4191.078	3896.38	4397.89	0
t_n1053	4020.752	3746.76	4243.16	0
t_n1054	3908.903	3646.82	4132.39	0
t_n1055	3770.061	3522.85	3992.46	0
t_n1056	3619.709	3387.41	3836.66	0
t_n1057	3313.494	3072.44	3559.92	0
t_n1058	3181.327	2946.69	3433.65	0
t_n1059	3070.511	2844.51	3309.25	0
t_n1060	3013.258	2789.92	3247.8	0
t_n1061	2930.791	2710.41	3159.67	0
t_n1062	2847.535	2628.7	3071.54	0
t_n1063	2753.125	2535.06	2974.92	0
t_n1064	2503.711	2289.1	2727.11	0
t_n1065	2283.24	2051.44	2518.9	0
t_n1066	1876.085	1661.1	2099.87	0
t_n1067	1689.375	1482.55	1896.68	0
t_n1068	1565.093	1368.15	1759.56	0
t_n1069_TG-CHROMATIACEAE	1474.186	1285.68	1656.21	B(1.631,4.520,0.025,1e-300)
t_n1070	1271.788	1098.44	1454.6	0
t_n1071	992.77	826.56	1168.89	0
t_n1072	832.121	681.31	996.46	0
t_n1073	649.86	508.42	804.92	0
t_n1074	498.872	366.03	648.16	0
t_n1075	276.945	189.22	387.03	0
t_n1076	158.047	94.3	245.53	0
t_n1077	650.967	476.04	830.58	0
t_n1078	1063.799	875.77	1260.1	0
t_n1079	934.115	748.13	1131.16	0
t_n1080	781.133	603.93	980.5	0
t_n1081	662.08	483.12	863.08	0
t_n1082	1342.458	1131.63	1545.11	0
t_n1083	1118.003	850.49	1365.67	0
t_n1084	1212.636	888.68	1490.05	0
t_n1085	1258.195	1025.2	1504.44	0
t_n1086	1070.57	850.46	1309.61	0
t_n1087	835.661	634.07	1061.41	0
t_n1088	512.23	354.28	695.4	0
t_n1089	345.236	213.43	517.51	0
t_n1090	949.556	700.44	1211.33	0
t_n1091	668.483	437.47	927.97	0
t_n1092_TG-MIT-EUKARYA	2301.069	2082.39	2522.07	B(1.08557,4.520,0.025,1e-300)
t_n1093	2011.618	1802.37	2230.96	0
t_n1094	1908.807	1706.23	2121.17	0
t_n1095	1701.287	1486.51	1924.51	0
t_n1096	1466.547	1243.04	1700.32	0
t_n1097	1196.843	923.33	1457.77	0
t_n1098	911.525	669.77	1173.07	0
t_n1099	480.001	289.88	704.41	0
t_n1100	1327.796	1038.37	1598.18	0
t_n1101	1599.577	1413.39	1797.33	0
t_n1102	1442.598	1263.05	1636.18	0
t_n1103	1307.721	1134.67	1495.92	0
t_n1104	1147.699	962.44	1342.13	0
t_n1105	666.818	526.05	827.93	0
t_n1106	525.352	401.36	668.67	0
t_n1107	434.239	320.8	568.72	0
t_n1108	346.93	246.22	474.38	0
t_n1109	211.149	130.64	315.66	0
t_n1110	1150.528	971.6	1337.93	0
t_n1111	948.521	771.45	1132.23	0
t_n1112	817.518	648.84	1000.03	0
t_n1113	586.055	398.56	775.68	0
t_n1114	649.839	472.71	842.63	0
t_n1115	695.385	447.41	984.78	0
t_n1116	1342.819	1150.93	1540.36	0
t_n1117	1221.218	1017.79	1429.02	0
t_n1118	911.412	646.32	1172.64	0
t_n1119	631.469	402.75	879.72	0
t_n1120	1234.724	1040.7	1433.29	0
t_n1121	1117.338	913.53	1321.26	0
t_n1122	780.212	527.27	1046.2	0
t_n1123	865.675	623.61	1110.75	0
t_n1124	1026.872	807.42	1249.4	0
t_n1125	881.022	651.27	1115.49	0
t_n1126	2466.824	2200.34	2723.49	0
t_n1127	2199.474	1871.46	2501.6	0
t_n1128	1707.03	1301.14	2085.58	0
t_n1129	1058.666	679.67	1475.99	0
t_n1130	962.755	564.27	1480.63	0
t_n1131	2315.687	2050.73	2579.68	0
t_n1132	2145.123	1881.79	2409.58	0
t_n1133	1969.747	1701.11	2237.8	0
t_n1134	1855.205	1585.85	2122.44	0
t_n1135	1725.426	1454.98	1995.57	0
t_n1136	1342.298	1086.3	1611.52	0
t_n1137	1146.182	903.46	1404.67	0
t_n1138	621.576	401.29	868.69	0
t_n1139	888.007	628.52	1164.17	0
t_n1140	2022.947	1754.29	2293.63	0
t_n1141	1864.397	1584.1	2145.52	0
t_n1142	1566.655	1248.44	1888.42	0
t_n1143	883.94	577.5	1245.63	0
t_n1144	910.604	589.46	1293.67	0
t_n1145	2583.948	2264.13	2866.2	0
t_n1146	2108.815	1656.94	2489.65	0
t_n1147	932.033	574.99	1397.68	0
t_n1148	2445.716	2108.73	2738.7	0
t_n1149	2180.325	1781.73	2521.41	0
t_n1150	296.835	164.98	515.44	0
t_n1151	1869.835	1340.39	2311.45	0
t_n1152	2799.812	2551.93	3038.86	0
t_n1153	2434.848	2120.93	2723.58	0
t_n1154	1368.515	1060.1	1715.68	0
t_n1155	1022.561	755.15	1331.73	0
t_n1156	762.805	521.71	1062.44	0
t_n1157	1174.345	772.92	1627.29	0
t_n1158	2150.483	1562.73	2586.71	0
t_n1159	2457.204	1988.78	2859.61	0
t_n1160	2101.488	1617.25	2531.2	0
t_n1161	809.281	551.15	1158.84	0
t_n1162	360.169	207.47	587.13	0
t_n1163	2214.03	1645.89	2733.74	0
t_n1164	1074.698	666.83	1571.49	0
t_n1165	3197.857	2964.51	3442.65	0
t_n1166	3117.148	2892.24	3361.87	0
t_n1167	3016.316	2790.83	3254.62	0
t_n1168	2554.353	2208.91	2877.13	0
t_n1169	2188.351	1813.03	2553.41	0
t_n1170	1416.824	1060.94	1814.05	0
t_n1171	1135.649	783.85	1536.42	0
t_n1172	2048.242	1567.97	2466.5	0
t_n1173	2843.697	2611.83	3083.25	0
t_n1174	2680.251	2442.08	2921.46	0
t_n1175	2569.224	2333.06	2812.33	0
t_n1176	2397.167	2165.25	2639.64	0
t_n1177	2187.807	1965.81	2422.64	0
t_n1178	2018.818	1802.97	2245.54	0
t_n1179	614.744	406.46	870.96	0
t_n1180	346.949	201.78	559.67	0
t_n1181	1827.499	1625.94	2043.16	0
t_n1182	1529.548	1353.9	1721.16	0
t_n1183	1424.722	1258.43	1607.93	0
t_n1184	1338.673	1176.84	1515.62	0
t_n1185	1219.54	1069.3	1385.23	0
t_n1186	1046.269	896.92	1209.97	0
t_n1187	836.105	703.63	983.83	0
t_n1188	652.747	533.99	788.15	0
t_n1189	506.214	403.74	622.92	0
t_n1190	421.291	323.06	538.07	0
t_n1191	286.253	188.56	401.5	0
t_n1192	329.86	225.07	453.47	0
t_n1193	412.178	306.58	533.27	0
t_n1194	256.537	162.01	373.46	0
t_n1195	572.293	398.95	742.58	0
t_n1196	983.887	830.71	1149.99	0
t_n1197	726.022	563.16	898.56	0
t_n1198	593.778	427.19	767.61	0
t_n1199	836.55	671.31	1011.67	0
t_n1200	673.65	497	862.49	0
t_n1201	1061.352	808.57	1322.44	0
t_n1202	896.609	638.36	1168.38	0
t_n1203	864.5	605.18	1141.14	0
t_n1204	1389.732	1034.5	1707.03	0
t_n1205	1742.011	1279.24	2105.22	0
t_n1206	218.138	122.05	362.05	0
t_n1207	2149.438	1838.06	2432.55	0
t_n1208	1521.264	1071.65	1951.89	0
t_n1209	2203.046	1807.1	2527.08	0
t_n1210	2383.942	2045.99	2679.49	0
t_n1211	1817.454	1314.81	2244.48	0
t_n1212	2085.617	1679.98	2433.7	0
t_n1213	2652.468	2384.45	2916.5	0
t_n1214	2494.301	2210.77	2769.82	0
t_n1215	1021.177	636.19	1485.72	0
t_n1216	2071.682	1703.45	2419.08	0
t_n1217	1367.728	952.04	1795.92	0
t_n1218	2937.419	2658.62	3200.95	0
t_n1219	2712.637	2381.33	3010.58	0
t_n1220	1323.517	940.8	1792.47	0
t_n1221	718.438	450.76	1075.92	0
t_n1222	1284.388	780.52	1892.89	0
t_n1223	3075.372	2846.36	3317.97	0
t_n1224	2995.195	2763.33	3233.35	0
t_n1225	2835.495	2590.75	3081.16	0
t_n1226	2666.747	2417.5	2917.26	0
t_n1227_CG-CHLAMYDIIA	2430.092	2151.9	2703.63	B(1.08557,4.520,0.025,1E-300)
t_n1228	2055.997	1727.74	2372.84	0
t_n1229	1669.935	1312.77	2026.3	0
t_n1230	1373.39	1005.09	1748.48	0
t_n1231	1748.519	1358.21	2113.63	0
t_n1232	845.85	528.94	1280.1	0
t_n1233	2211.614	1912.2	2512.7	0
t_n1234	1920.452	1629.78	2225.8	0
t_n1235	1536.848	1244.17	1856.97	0
t_n1236	1177.137	900.82	1480.5	0
t_n1237	757.376	517.65	1048.26	0
t_n1238	1466.203	1102.39	1837.66	0
t_n1239	2114.671	1589.41	2558.87	0
t_n1240	1754.784	1213.72	2242.18	0
t_n1241	2501.467	2050.65	2862.39	0
t_n1242	1801.775	1258.89	2297.46	0
t_n1243	3522.312	3299.68	3737.42	0
t_n1244	3446.26	3219.03	3665.3	0
t_n1245	3249.846	2963.99	3513.22	0
