Mean_time	Mean_qlow	Mean_qup	Priors
t_n701_LUCA	4452.937	4281.45	4518.1	B(3.347,4.520,1e-300,1e-300)
t_n702	3811.317	3563.63	4046.33	0
t_n703	3701.339	3449.88	3939.05	0
t_n704	3602.713	3349.66	3846.71	0
t_n705	3477.546	3227.07	3719.59	0
t_n706	3282.881	3030.87	3528.06	0
t_n707	3142.935	2901.06	3387.14	0
t_n708	2997.627	2762.61	3235.05	0
t_n709	2879.712	2643.95	3112.56	0
t_n710	1923.443	1483.84	2351.6	0
t_n711	989.592	654.87	1375.09	0
t_n712	127.447	71.28	212.33	0
t_n713	2710.73	2479.71	2943.41	0
t_n714	2419.642	2179.26	2661.58	0
t_n715	2065.364	1729.72	2368.64	0
t_n716	1775.048	1403.76	2116.68	0
t_n717	1379.188	981.23	1769.41	0
t_n718	1696.529	1285.7	2061.97	0
t_n719	2171.422	1929.73	2417.73	0
t_n720	2034.868	1803.54	2277.93	0
t_n721	1837.192	1575.78	2097.21	0
t_n722	1694.055	1428.08	1964.22	0
t_n723	1527.973	1260.83	1803.4	0
t_n724	1433.9	1167.68	1712.84	0
t_n725	1156.707	872.51	1450.53	0
t_n726	1835.895	1600.22	2079.96	0
t_n727	1629.818	1387.79	1887.23	0
t_n728	1401.563	1156.77	1663.15	0
t_n729	1020.398	739.95	1318.77	0
t_n730	767.804	526.57	1049.08	0
t_n731	269.372	150.08	455.26	0
t_n732	1663.126	1406.87	1923.03	0
t_n733	1409.621	1110.04	1703.28	0
t_n734	1427.136	1129.31	1727.04	0
t_n735	1841.286	1465.64	2150.22	0
t_n736	2361.074	2119.1	2604.66	0
t_n737	2148.712	1912.02	2392.45	0
t_n738	1838.317	1614.51	2072.64	0
t_n739	1669.215	1444.75	1905.46	0
t_n740	1307.087	1088.23	1538.36	0
t_n741	1084.862	884.76	1304.77	0
t_n742	917.04	725.22	1135.44	0
t_n743	768.876	583.14	980.66	0
t_n744	430.207	265.55	632.32	0
t_n745	954.714	738.57	1185.02	0
t_n746	1258.574	920.66	1564.38	0
t_n747	1664.965	1433.67	1907.34	0
t_n748	1501.245	1270.07	1748.5	0
t_n749	1151.991	918.87	1398.24	0
t_n750	920.942	695.57	1160.97	0
t_n751	566.077	367.11	774.72	0
t_n752	1811.651	1459.63	2113.03	0
t_n753	1478	1093.52	1836.25	0
t_n754	2358.116	1892.66	2752.94	0
t_n755	515.909	288.02	803.17	0
t_n756	506.86	270.73	814.43	0
t_n757	734.144	443.79	1129.68	0
t_n758	3012.005	2740	3272.83	0
t_n759	2581.713	2227.41	2910.03	0
t_n760	1282.937	1017.45	1579	0
t_n761	1156.585	900.69	1445.29	0
t_n762	979.732	733.42	1258.46	0
t_n763	591.131	375.85	835.86	0
t_n764	887.466	583.51	1228.11	0
t_n765	1706.596	1173.32	2204.94	0
t_n766	2771.493	2478.31	3055.93	0
t_n767	2611.771	2313.22	2899.76	0
t_n768	2288.813	1918.51	2626.7	0
t_n769	1797.252	1373.77	2193.73	0
t_n770	737.215	469.43	1089.82	0
t_n771	2379.758	2064.4	2684.32	0
t_n772	1856.74	1451.26	2229.6	0
t_n773	1051.95	683.64	1456.16	0
t_n774	1834.639	1461.57	2197.19	0
t_n775	1418.039	1071.28	1799.22	0
t_n776	1013.628	684.53	1389.22	0
t_n777	3174.689	2905.18	3458.56	0
t_n778	2141.486	1741.26	2558.4	0
t_n779	1817.855	1450.64	2211.3	0
t_n780	1680.909	1330	2070.56	0
t_n781	1392.355	1073.21	1763.96	0
t_n782	879.664	641.49	1161.55	0
t_n783	680.088	461.76	951.15	0
t_n784	2963.607	2683.97	3255.3	0
t_n785	2541.488	2230.73	2860.5	0
t_n786	2260.479	1937.11	2585.73	0
t_n787	1916.285	1568.58	2269.12	0
t_n788	1651.21	1304.33	2012.17	0
t_n789	1224.098	868.16	1599.39	0
t_n790	1034.31	664.93	1455.13	0
t_n791	1703.386	1332.35	2093.8	0
t_n792	1473.788	1118.92	1865.52	0
t_n793	957.936	641.68	1336.39	0
t_n794	2113.267	1607.84	2572.83	0
t_n795	1115.775	708.8	1582.33	0
t_n796	1657.641	1055.35	2402.06	0
t_n797	240.192	134.73	399.16	0
t_n798	2230.904	1738.7	2781.29	0
t_n799	1714.354	1309.7	2191.47	0
t_n800	1413.309	1056.2	1843.65	0
t_n801	1276.324	928.84	1705.48	0
t_n802	994.372	674.4	1400.31	0
t_n803	410.507	268.25	612.61	0
t_n804	241.735	140.45	395.29	0
t_n805	3696.487	3444.3	3946.18	0
t_n806	3441.799	3140.87	3723.6	0
t_n807	3138.679	2868.2	3435.61	0
t_n808	2748.343	2448.59	3049.95	0
t_n809	2482.676	2209.07	2772.14	0
t_n810	2167.589	1868.94	2476.23	0
t_n811	1277.352	1106.31	1468.8	0
t_n812	1143.806	998.08	1308.01	0
t_n813	1042.945	914.56	1182.6	0
