Mean_time	Mean_qlow	Mean_qup	Priors
t_n701_LUCA	4497.64	4440.91	4519.36	B(3.347,4.520,1e-300,1e-300)
t_n702	3477.982	3387.91	3615.09	0
t_n703	3377.568	3277.1	3514.81	0
t_n704	3287.845	3178.48	3425.43	0
t_n705	3152.364	3026.15	3291.26	0
t_n706	2898.071	2743.53	3052.58	0
t_n707	2751.087	2577.62	2916.78	0
t_n708	2584.958	2404.71	2758.4	0
t_n709	2464.634	2277.19	2645.17	0
t_n710	1514.676	1172.07	1827.9	0
t_n711	703.519	460.74	977.73	0
t_n712	71.058	38.7	121.64	0
t_n713	2261.763	2065.43	2453.21	0
t_n714	1955.604	1753.79	2158.55	0
t_n715	1724.604	1513.64	1935.51	0
t_n716	1518.574	1307.74	1736.58	0
t_n717	1223.789	1005.34	1444.43	0
t_n718	1461.779	1246.64	1692.46	0
t_n719	1681.261	1476.22	1893.17	0
t_n720	1561.251	1365.93	1769.4	0
t_n721	1422.571	1236.97	1622.12	0
t_n722	1323.657	1142.22	1518	0
t_n723	1208.622	1033.81	1399.9	0
t_n724	1148.846	977.38	1337.26	0
t_n725	960.448	799.92	1138.13	0
t_n726	1391.872	1209	1591.61	0
t_n727	1231.081	1059.6	1416.19	0
t_n728	1058.886	897.97	1239.63	0
t_n729	810.661	663.9	975.75	0
t_n730	503.497	367.89	661.76	0
t_n731	209.103	122.91	322.29	0
t_n732	1289.105	1115.31	1474.63	0
t_n733	1135.227	964.5	1316.77	0
t_n734	1154.65	987.3	1335.79	0
t_n735	1467.138	1262.42	1688.46	0
t_n736	1750.017	1513.1	1976.46	0
t_n737	1539.021	1305.12	1763.17	0
t_n738	1168.621	954.77	1384.17	0
t_n739	1068.305	864.8	1272.88	0
t_n740	792.689	622.74	968.21	0
t_n741	649.92	503.09	809	0
t_n742	555.804	425.92	701.48	0
t_n743	473.897	360.46	605.69	0
t_n744	258.06	187.12	348.69	0
t_n745	590.404	455.33	742.92	0
t_n746	859.868	677.69	1045.35	0
t_n747	1062.985	862.17	1267	0
t_n748	965.449	776.58	1159.42	0
t_n749	699.649	542.94	863.55	0
t_n750	560.049	426.89	707.14	0
t_n751	321.21	231.96	425.74	0
t_n752	1356.483	1130.14	1585.24	0
t_n753	1158.449	942.38	1380.57	0
t_n754	2140.662	1877.8	2368.56	0
t_n755	299.343	146.66	523.28	0
t_n756	570.322	294.28	884.13	0
t_n757	495.475	219.19	852.98	0
t_n758	2702.256	2527.8	2864.07	0
t_n759	2360.293	2138.94	2554.31	0
t_n760	1004.489	737.23	1295.32	0
