Mean_time	Mean_qlow	Mean_qup	Priors
t_n701_LUCA	4497.703	4440.68	4519.4	B(3.347,4.520,1e-300,1e-300)
t_n702	3478.561	3387.69	3617.05	0
t_n703	3378.278	3275.57	3516.84	0
t_n704	3288.553	3177.28	3427.81	0
t_n705	3153.048	3025.65	3297.33	0
t_n706	2898.708	2741.64	3057.79	0
t_n707	2751.395	2576.88	2919.04	0
t_n708	2585.347	2403.39	2760.68	0
t_n709	2464.519	2276.61	2646.64	0
t_n710	1513.961	1167.97	1830.44	0
t_n711	703.756	458.36	977.35	0
t_n712	71.056	38.82	121.74	0
t_n713	2261.256	2066.99	2453.28	0
t_n714	1954.332	1753.59	2158.73	0
t_n715	1723.698	1515.13	1937.93	0
t_n716	1518.037	1309.79	1737.75	0
t_n717	1223.78	1007.9	1446.3	0
t_n718	1461.094	1245.68	1693.51	0
t_n719	1679.468	1475.44	1894.17	0
t_n720	1559.273	1365.69	1770.3	0
t_n721	1420.293	1234.94	1621.79	0
t_n722	1321.599	1141.11	1518.1	0
t_n723	1206.658	1032.98	1400.54	0
t_n724	1147.221	976.4	1336.44	0
t_n725	959.562	797.67	1136.88	0
t_n726	1389.828	1208.74	1591.95	0
t_n727	1229.06	1059.62	1416.49	0
t_n728	1056.998	896.52	1236.64	0
t_n729	809.202	664.46	975.33	0
t_n730	502.985	366.95	663.54	0
t_n731	208.985	122.87	321.38	0
t_n732	1287.097	1113.66	1476.63	0
t_n733	1133.697	964.85	1317.38	0
t_n734	1152.954	986.44	1335.79	0
t_n735	1465.125	1262.59	1686.78	0
t_n736	1749.642	1512.43	1972.94	0
t_n737	1538.557	1305.45	1758.96	0
t_n738	1167.999	953.72	1378.55	0
t_n739	1067.767	863.81	1268.83	0
t_n740	792	621.12	966.4	0
t_n741	649.372	500.38	807.44	0
t_n742	555.476	423.4	699.27	0
t_n743	473.619	359.06	604.46	0
t_n744	257.842	186.07	347.7	0
t_n745	589.939	451.33	740.27	0
t_n746	858.851	677.68	1045.01	0
t_n747	1062.543	860.53	1264.14	0
t_n748	965.204	775.71	1157.94	0
t_n749	699.47	543.14	861.6	0
t_n750	559.668	427.41	704.55	0
t_n751	320.779	232.38	424.91	0
t_n752	1356.045	1130.16	1580.38	0
t_n753	1158.407	941.8	1377.35	0
t_n754	2139.159	1872.65	2369.3	0
t_n755	298.658	146.63	524.51	0
t_n756	571.758	297.69	892.25	0
t_n757	496.216	221.35	853.8	0
t_n758	2702.875	2526.41	2867.69	0
t_n759	2360.949	2139.43	2558.75	0
t_n760	1004.894	739.57	1296.29	0
t_n761	914.036	667.12	1192.65	0
t_n762	788.375	571.28	1039.78	0
t_n763	453.484	309.77	637.57	0
t_n764	759.862	542.67	1016	0
t_n765	1668.087	1305.31	1980.76	0
t_n766	2528.332	2338.06	2706.84	0
t_n767	2406.676	2204.73	2590.45	0
t_n768	2163.489	1929.14	2374.1	0
t_n769	1742.607	1458.52	1995.96	0
t_n770	620.089	373.97	885.62	0
t_n771	2212.323	1993.32	2407.83	0
t_n772	1743.224	1471.78	1989.11	0
t_n773	965.807	689.37	1271.72	0
t_n774	1701.41	1423.77	1955.89	0
t_n775	1326.352	1061.71	1598.84	0
t_n776	988.231	750.55	1251.03	0
t_n777	2899.195	2727.19	3058.03	0
t_n778	1823.02	1394.5	2197.29	0
t_n779	1532.594	1138.29	1904.45	0
t_n780	1423.95	1052.96	1785.96	0
t_n781	1173.484	849.12	1512.76	0
t_n782	671.998	450.7	926.18	0
t_n783	535.234	353.6	753.18	0
t_n784	2712.57	2510.28	2892.94	0
t_n785	2224.392	1939.17	2467.7	0
t_n786	1988.911	1696.21	2252.32	0
t_n787	1719.507	1433.12	1987.92	0
t_n788	1521.124	1247.01	1789.83	0
t_n789	1189.029	930.17	1453.79	0
t_n790	750.858	480.15	1057.33	0
t_n791	1359.759	1047.05	1676.46	0
t_n792	1197.812	911.33	1499.7	0
t_n793	779.833	562.68	1038.22	0
t_n794	1988.54	1617.02	2299.93	0
t_n795	1008.522	672.53	1372.49	0
t_n796	1733.826	1103.47	2270.91	0
t_n797	255.389	119.66	483.66	0
t_n798	2544.708	2164.52	2838.37	0
t_n799	2091.039	1669.28	2434.76	0
t_n800	1760.425	1358.24	2124.49	0
t_n801	1592.668	1213.71	1957.52	0
t_n802	1233.118	896.22	1586.23	0
t_n803	540.237	280.01	884.59	0
t_n804	326.019	166.28	556.51	0
t_n805_CG-ARCH-EUKARYA	3424.072	3337.09	3560.61	B(3.331,4.520,1e-300,1e-300)
t_n806	3323.301	3228.78	3460.24	0
t_n807	3113.509	2998.05	3251.53	0
t_n808	2874.295	2738.57	3019.63	0
t_n809	2693.382	2546.17	2844.59	0
t_n810	2471.666	2304.78	2631.95	0
t_n811	1604.805	1397.97	1800.03	0
t_n812	1458.083	1256.42	1649.92	0
t_n813	1338.3	1143.7	1519.58	0
t_n814	1254.96	1066.4	1436.32	0
t_n815	938.123	768.27	1114.38	0
t_n816	585.753	441.3	741.11	0
t_n817	994.888	827.98	1158.26	0
t_n818	906.924	748.7	1064.72	0
t_n819	782.759	639.89	934.68	0
t_n820	652.752	526	792.8	0
t_n821	402.788	307.89	516.18	0
t_n822	179.507	127.08	245.9	0
t_n823	120.928	83.84	167.86	0
t_n824	56.572	37.68	81.73	0
t_n825	795.096	650.81	944.42	0
t_n826	680.528	549.79	819.52	0
t_n827	580.957	463.79	710.86	0
t_n828	164.264	112.09	233.54	0
t_n829	461.53	362.33	575.61	0
t_n830	381.036	293.64	484.11	0
t_n831	1261.703	1073.1	1442.58	0
t_n832	1190.346	1004.83	1367.55	0
t_n833	1122.364	943.18	1293.59	0
t_n834	742.954	588.12	905.66	0
