Mean_time	Mean_qlow	Mean_qup	Priors
t_n701_LUCA	4471.883	4346.85	4518.73	B(3.347,4.520,1e-300,1e-300)
t_n702	3769.041	3555.5	3977.92	0
t_n703	3653.982	3441.73	3867.46	0
t_n704	3563.389	3350.36	3777.03	0
t_n705	3451.405	3235.63	3666.28	0
t_n706	3275.592	3057.23	3494.06	0
t_n707	3142.357	2922.5	3369.35	0
t_n708	2996.852	2779.86	3221.59	0
t_n709	2878.442	2661.14	3099.32	0
t_n710	1926.814	1488.12	2341.53	0
t_n711	992.888	662.35	1388.26	0
t_n712	127.845	72.02	208.08	0
t_n713	2710.667	2494.91	2931.5	0
t_n714	2421.272	2188.32	2655.21	0
t_n715	2064.558	1733.34	2360.42	0
t_n716	1773.457	1407.4	2105.54	0
t_n717	1380.907	981.51	1771.54	0
t_n718	1696.31	1283.23	2060.6	0
t_n719	2171.676	1941.82	2406.07	0
t_n720	2035.004	1804.83	2268.68	0
t_n721	1838.528	1589.91	2088.2	0
t_n722	1696.347	1440.02	1954.7	0
t_n723	1529.254	1269.22	1797.88	0
t_n724	1434.926	1174.35	1709.79	0
t_n725	1156.476	870.23	1448.17	0
t_n726	1837.001	1605.91	2078.16	0
t_n727	1629.031	1387.14	1883.04	0
t_n728	1399.731	1160.72	1656.48	0
t_n729	1019.226	736.78	1309.51	0
t_n730	766.877	531.6	1039.67	0
t_n731	269.783	152.54	446.73	0
t_n732	1664.836	1412.38	1924.25	0
t_n733	1410.338	1116.96	1701.99	0
t_n734	1428.587	1119.65	1722.65	0
t_n735	1841.427	1474.35	2144.99	0
t_n736	2360.773	2127.63	2597	0
t_n737	2148.386	1919.74	2381.67	0
t_n738	1838.22	1618.99	2063.13	0
t_n739	1670.518	1449.1	1896.74	0
t_n740	1308.37	1097.36	1534.81	0
t_n741	1085.429	887.95	1300.94	0
t_n742	917.957	727.12	1131.08	0
t_n743	768.844	584.99	977.73	0
t_n744	430.849	265.61	635.42	0
t_n745	954.69	738.34	1179.83	0
t_n746	1258.34	923.74	1566.48	0
t_n747	1665.543	1438.12	1898.85	0
t_n748	1502.469	1273.97	1742	0
t_n749	1153.133	924.45	1391.88	0
t_n750	921.968	702.02	1157.69	0
t_n751	567.594	370.11	781.59	0
t_n752	1810.86	1469.33	2107.45	0
t_n753	1476.877	1099.99	1829.57	0
t_n754	2356.043	1896.35	2746.42	0
t_n755	515.806	292.05	804.09	0
t_n756	507.607	273.37	812.78	0
t_n757	735.99	446.94	1128.8	0
t_n758	3008.053	2755.19	3258.66	0
t_n759	2579.284	2227.22	2906.65	0
t_n760	1281.477	1023.71	1567.79	0
t_n761	1156.739	905.18	1435.71	0
t_n762	980.194	737.44	1254.41	0
t_n763	593.313	375.33	831.46	0
t_n764	887.372	586	1224.75	0
t_n765	1707.723	1187.18	2206.44	0
t_n766	2768.905	2483.33	3039.3	0
t_n767	2610.194	2321.26	2888.05	0
t_n768	2290.459	1931.95	2618	0
t_n769	1799.877	1372.11	2189.78	0
t_n770	741.76	470.49	1090.84	0
t_n771	2380.008	2079.29	2676.36	0
t_n772	1858.46	1457.43	2222.32	0
t_n773	1056.667	687.76	1463.57	0
t_n774	1836.279	1469.43	2194.94	0
t_n775	1418.858	1071.45	1783.1	0
t_n776	1015.819	686.05	1385.9	0
t_n777	3177.866	2918.12	3429.7	0
t_n778	2144.113	1747.34	2557.06	0
