Mean_time	Mean_qlow	Mean_qup	Priors
t_n701_LUCA	4218.46	3638.02	4510.32	B(3.347,4.520,1e-300,1e-300)
t_n702	4083.863	3523.65	4470.92	0
t_n703	3913.524	3363.96	4412.35	0
t_n704	3832.385	3290.06	4364.98	0
t_n705	3766.623	3147.41	4330.95	0
t_n706	3683.509	2908.18	4298.27	0
t_n707	3556.246	2529.27	4260.02	0
t_n708	3416.355	2277.11	4214.28	0
t_n709	3258.834	2097.88	4161.97	0
t_n710	2066.853	606.5	3716.68	0
t_n711	1308.439	176.66	2847.77	0
t_n712	675.569	17.89	1947.43	0
t_n713	3087.321	1967.48	4097.05	0
t_n714	2803.133	1712.26	3959.58	0
t_n715	1993.569	754.38	3446.73	0
t_n716	1292.644	197.31	2628.06	0
t_n717	673.606	18.56	1889.49	0
t_n718	980.56	39.28	2350.96	0
t_n719	2504.942	1453.09	3755.99	0
t_n720	2233.847	1230.68	3486.11	0
t_n721	1760.613	738.51	3013.11	0
t_n722	1405.329	403.87	2479.08	0
t_n723	1087.036	212.43	2086.13	0
t_n724	754.57	86.95	1798.11	0
t_n725	386.245	8.88	1430.92	0
t_n726	1917.729	977.6	3161.8	0
t_n727	1564.065	583.87	2666.18	0
t_n728	1201.632	269.29	2173.88	0
t_n729	635.767	21.74	1758.95	0
t_n730	635.245	20.87	1753.87	0
t_n731	826.913	31.48	1982.67	0
t_n732	1419.065	375.35	2522.6	0
t_n733	748.367	27.15	1905.06	0
t_n734	749.609	26.75	1906.87	0
t_n735	1154.235	48.39	2747.58	0
t_n736	2751.016	1646.18	3935.23	0
t_n737	2460.068	1391.28	3722.27	0
t_n738	2187.15	1189.28	3434.2	0
t_n739	1855.384	918.71	3086.83	0
t_n740	1563.074	609.61	2630.63	0
t_n741	1322.321	398.17	2252.37	0
t_n742	1028.618	206.33	1980.38	0
t_n743	712.502	82.61	1731.75	0
t_n744	364.025	8.69	1349.22	0
t_n745	703.349	26.49	1809.99	0
t_n746	947.366	38.76	2164.24	0
t_n747	1730.81	710.56	2980.37	0
t_n748	1384.919	387.43	2419.84	0
t_n749	1072.189	207.07	2054.84	0
t_n750	745.877	83.82	1788.55	0
t_n751	385.377	8.8	1425.84	0
t_n752	1509.517	264.45	2974.84	0
t_n753	777.288	25.1	2051.18	0
t_n754	2147.563	618.11	3825.25	0
t_n755	1016.78	36.8	2647.64	0
t_n756	1014.955	37.67	2647.45	0
t_n757	1434.611	60.75	3607.61	0
t_n758	3332.399	2058.57	4209.71	0
t_n759	2587.069	1221.17	3974.53	0
t_n760	1960.947	770.51	3485.53	0
t_n761	1421.643	324.82	2768.32	0
t_n762	974.191	121.11	2092.2	0
t_n763	507.444	13.07	1654.51	0
t_n764	970.638	37.83	2336.92	0
t_n765	1164.134	47.15	2937.03	0
t_n766	2798.286	1495	4041.3	0
t_n767	2348.132	1166.9	3776.03	0
t_n768	1634.558	448.92	3108.61	0
t_n769	1101.504	150.28	2263.86	0
t_n770	573.193	15.22	1746.25	0
t_n771	1881.14	808.01	3305.64	0
t_n772	1246.281	203.14	2456.16	0
t_n773	653.087	19.37	1852.96	0
t_n774	1390.125	333.46	2610.39	0
t_n775	959.978	121.23	2047.28	0
t_n776	501.539	12.39	1645.76	0
t_n777	3425.767	2131.43	4246.41	0
t_n778	2574.031	1154.9	4010.02	0
t_n779	1954.805	737.86	3533.36	0
t_n780	1509.056	410.85	2914.16	0
t_n781	1148.133	220.09	2245.94	0
t_n782	796.091	86.99	1889.2	0
t_n783	412.015	9.52	1505.23	0
t_n784	2911.9	1584.43	4098.62	0
t_n785	2396.948	1179.28	3840.8	0
t_n786	1852.753	734.46	3322.47	0
t_n787	1370.164	325.44	2611.09	0
t_n788	942.562	119.21	2037.83	0
t_n789	489.451	12.56	1622.12	0
t_n790	934.468	37.18	2227.18	0
t_n791	1656.979	453.48	3164.12	0
t_n792	1110.164	149.31	2294.06	0
t_n793	578.34	15.37	1772.49	0
t_n794	1679.389	288.53	3449.79	0
t_n795	834.55	25.21	2230.21	0
t_n796	2087.947	356.29	4019.64	0
t_n797	967.852	28.84	2787.27	0
t_n798	3070.121	1424.27	4229.15	0
t_n799	2148.061	749.44	3879.61	0
t_n800	1515.437	332.85	3172.91	0
t_n801	1022.835	125.74	2241.73	0
t_n802	533.219	13.09	1723.2	0
t_n803	1747.956	291.41	3696.94	0
t_n804	857.821	27.34	2319.6	0
t_n805_CG-ARCH-EUKARYA	3917.392	3386.6	4416.91	B(3.331,4.520,1e-300,1e-300)
t_n806	3877.411	3358.34	4384.43	0
t_n807	3829.607	3312.34	4353.01	0
t_n808	3757.188	3140.04	4321.29	0
t_n809	3674.515	2897.84	4291.82	0
t_n810	3516.393	2450.4	4246.26	0
t_n811	3336.965	2184.4	4191.22	0
t_n812	3151.468	2001.46	4127.69	0
t_n813	2968.066	1857.35	4046.95	0
t_n814	2637.329	1555.71	3866.23	0
t_n815	1578.517	274.68	3139.88	0
t_n816	806.155	25.9	2115.08	0
t_n817	2323.458	1277.14	3591.71	0
t_n818	2063.472	1098.28	3312.15	0
t_n819	1704.792	747.21	2893.52	0
t_n820	1418.561	460.19	2394.68	0
t_n821	1165.396	284.38	2095.89	0
t_n822	905.946	161.23	1878.09	0
t_n823	624.657	64.47	1648.13	0
t_n824	316.146	7	1242.28	0
t_n825	1707.864	738.03	2894.73	0
t_n826	1423.299	454.45	2401.56	0
t_n827	1168.981	281.88	2098.86	0
t_n828	619.64	22.42	1724.17	0
t_n829	813.008	101.73	1822.65	0
t_n830	419.293	11.03	1462.62	0
t_n831	2665.678	1590.2	3886.1	0
t_n832	2403.137	1358.79	3669.52	0
t_n833	2178.383	1190.78	3411.8	0
t_n834	1900.44	988.56	3114.86	0
